COUNTY,GEO_ID,NAME,DISTRICT,PRECINCT_CODE,PRECINCT_NAME,ACTIVE_VOTER_COUNT,CHURCH,POLLING_PLACE,ADDRESS
ADAMS,0600000US2800192961,"District 5, Adams County, Mississippi",5,AP,"DIST. 5, AIRPORT PRECINCT",798,FALSE,AIRPORT TERMINAL,434 AIRPORT RD. NATCHEZ MS 39120
ADAMS,0600000US2800190009,"District 1, Adams County, Mississippi",1,BF,"DIST. 1, BY-PASS FIRE PRECINCT",970,TRUE,ZION HILL CHURCH,349 LOWER WOODVILL RD. NATCHEZ MS 39120
ADAMS,0600000US2800190010,"District 1, Adams County, Mississippi",1,BL,"DIST. 1, BELLEMONT PRECINCT",1797,TRUE,CROSSPOINT CHURCH,285 HIGHLAND BLVD. NATCHEZ MS 39120
ADAMS,0600000US2800190747,"District 2, Adams County, Mississippi",2,BP,"DIST. 2, BEAU PRE PRECINCT",1120,TRUE,CALVARY BAPTIST CHURCH,522 HIGHWAY 61 SO. NATCHEZ MS 39120
ADAMS,0600000US2800191485,"District 3, Adams County, Mississippi",3,CD,"DIST. 3, CONCORD PRECINCT",711,TRUE,CHRISTIAN HOPE BAPTIST CHURCH,301 LASALLE ST NATCHEZ MS 39120
ADAMS,0600000US2800190009,"District 1, Adams County, Mississippi",1,CH,"DIST. 1, COURTHOUSE PRECINCT",690,FALSE,COURTHOUSE,115 S. WALL ST. NATCHEZ MS 39120
ADAMS,0600000US2800192223,"District 4, Adams County, Mississippi",4,CR,"DIST. 4, CARPENTER PRECINCT",566,TRUE,ROSE HILL BAPTIST CHURCH,607 1/2 MADISON ST. NATCHEZ MS 39120
ADAMS,0600000US2800190747,"District 2, Adams County, Mississippi",2,DP,"DIST. 2, DUNCAN PARK PRECINCT",1143,FALSE,DUNCAN PARK CANTEEN,57 DUNCAN PARK RD. NATCHEZ MS 39120
ADAMS,0600000US2800192961,"District 5, Adams County, Mississippi",5,FM,"DIST. 5, FOSTER MOUND PRECINCT",1139,FALSE,DISTRICT 5 FIRE STATION,228 FOSTER MOUND RD. NATCHEZ MS 39120
ADAMS,0600000US2800190747,"District 2, Adams County, Mississippi",2,KG,"DIST. 2, KINGSTON PRECINCT",622,FALSE,KINGSTON SCHOOL HOUSE/COMMUNITY CENTER,799 KINGSTON RD. NATCHEZ MS 39120
ADAMS,0600000US2800190747,"District 2, Adams County, Mississippi",2,LP,"DIST. 2, LIBERTY PARK PRECINCT",894,FALSE,ADAMS CO SAFE ROOM,323 LIBERTY RD. NATCHEZ MS 39120
ADAMS,0600000US2800192223,"District 4, Adams County, Mississippi",4,MG,"DIST. 4, MORGANTOWN PRECINCT",999,FALSE,MORGANTOWN SCHOOL,101 COTTAGE HOME DR. NATCHEZ MS 39120
ADAMS,0600000US2800191485,"District 3, Adams County, Mississippi",3,MH,"DIST. 3, MARYLAND HGTS. PRECINCT",625,FALSE,MARYLAND HEIGHTS REC BLDG,111 DUMAS DR. NATCHEZ MS 39120
ADAMS,0600000US2800191485,"District 3, Adams County, Mississippi",3,NPS,"DIST. 3, NPS MULTI PURPOSE BLDG.",520,FALSE,DAVID R STECKLER MULTI PUR. BLDG,311 LIBERTY RD. NATCHEZ MS 39120
ADAMS,0600000US2800192223,"District 4, Adams County, Mississippi",4,NS,"DIST. 4, NORTHSIDE PRECINCT",1619,FALSE,FRAZIER SCHOOL,1445 GEORGE F WEST BLVD. NATCHEZ MS 39120
ADAMS,0600000US2800192961,"District 5, Adams County, Mississippi",5,OK,"DIST. 5, OAKLAND PRECINCT",1003,TRUE,COMMUNITY CHAPEL CHURCH,100 OAKLAND DR. NATCHEZ MS 39120
ADAMS,0600000US2800191485,"District 3, Adams County, Mississippi",3,PL,"DIST. 3, PALESTINE PRECINCT",1402,FALSE,LIBERTY RD VOLUNTEER FIRE DEPT,1196 LIBERTY RD. NATCHEZ MS 39120
ADAMS,0600000US2800192223,"District 4, Adams County, Mississippi",4,PR,"DIST. 4, PINE RIDGE PRECINCT",644,FALSE,DISTRICT 4 BARN,176 FOSTER MOUND RD NATCHEZ MS 39120
ADAMS,0600000US2800192961,"District 5, Adams County, Mississippi",5,WS,"DIST. 5, WASHINGTON PRECINCT",766,TRUE,NEW HOPE BAPTIST CHURCH,417 MORGANTOWN RD. NATCHEZ MS 39120
ALCORN,0500000US28003,"Alcorn County, Mississippi",0,2BET,BETHEL,128,FALSE,PHIL CRUM'S SHOP,258 HWY 2 WEST CORINTH MS 38834
ALCORN,0500000US28004,"Alcorn County, Mississippi",0,2BIG,BIGGERSVILLE,1162,FALSE,BIGGERSVILLE FIRE STATION,531 CR 513 RIENZI MS 38865
ALCORN,0500000US28005,"Alcorn County, Mississippi",0,2CEN,2ND DISTRICT CENTRAL PRECINCT,2148,FALSE,W. O. W. BUILDING,72 CR 253 GLEN MS 38846
ALCORN,0500000US28006,"Alcorn County, Mississippi",0,2CH,COLLEGE HILL,1283,FALSE,AMERICAN LEGION BUILDING,511 S TATE ST CORINTH MS 38834
ALCORN,0500000US28007,"Alcorn County, Mississippi",0,2EC,EAST CORINTH,1974,TRUE,FIRST PRESBYTERIAN CHURCH FELLOWSHIP HALL,917 E SHILOH RD CORINTH MS 38834
ALCORN,0500000US28008,"Alcorn County, Mississippi",0,2FP,FIVE POINTS 1ST DIST,2365,FALSE,FARMINGTON CITY HALL,4135 CR 200 CORINTH MS 38834
ALCORN,0500000US28009,"Alcorn County, Mississippi",0,2GL,GLEN,1399,FALSE,GLEN CITY HALL,2551 HWY 72 EAST GLEN MS 38846
ALCORN,0500000US28010,"Alcorn County, Mississippi",0,2JAC,JACINTO,508,FALSE,JACINTO SENIOR CITIZEN CENTER,4 CR 375 RIENZI MS 38865
ALCORN,0500000US28011,"Alcorn County, Mississippi",0,2KOS,KOSSUTH,2183,FALSE,L. C. FOLLIN BLUE BUILDING,7 CR 604 KOSSUTH MS 38834
ALCORN,0500000US28012,"Alcorn County, Mississippi",0,2NC,NORTH CORINTH,1484,TRUE,NORTH CORINTH BAPTIST CHURCH FELLOWSHIP HALL,3311 NORTH POLK STREET CORINTH MS 38834
ALCORN,0500000US28013,"Alcorn County, Mississippi",0,2PC,PINECREST,748,TRUE,PINECREST BAPTIST CHURCH FELLOWSHIP HALL,313 PINECREST ROAD CORINTH MS 38834
ALCORN,0500000US28014,"Alcorn County, Mississippi",0,2RIE,RIENZI,1452,FALSE,RIENZI FIRE STATION,71 S FRONT ST RIENZI MS 38865
ALCORN,0500000US28015,"Alcorn County, Mississippi",0,2SCO,SOUTH CORINTH,1949,FALSE,JOHN ST COMMUNITY CENTER,1102 S JOHN ST CORINTH MS 38834
ALCORN,0500000US28016,"Alcorn County, Mississippi",0,2SG,SHADY GROVE,1266,FALSE,NORTH STATION FIRE & RESCUE,911 HIGHWAY 45 CORINTH MS 38834
ALCORN,0500000US28017,"Alcorn County, Mississippi",0,2UC,UNION CENTER,1557,FALSE,OLD UNION CENTER SCHOOL BLDG,3 CR 643 WALNUT MS 38683
ALCORN,0500000US28018,"Alcorn County, Mississippi",0,2WC,WEST CORINTH,1071,FALSE,BISHOP CENTER,1300 WASHINGTON ST CORINTH MS 38834
ALCORN,0500000US28019,"Alcorn County, Mississippi",0,2WEN,WENASOGA,1303,FALSE,V. F. W.,1 PURDY SCHOOL RD CORINTH MS 38834
AMITE,0600000US2800590027,"District 1, Amite County, Mississippi",1,111,LIBERTY,675,FALSE,LIBERTY/HWY. 567,4354 MS HWY 567 LIBERTY MS 39645
AMITE,0600000US2800590028,"District 1, Amite County, Mississippi",1,112,NEW ZION,431,FALSE,NEW ZION/SMITHDALE F.D.,5466 FENN RD SMITHDALE MS 39664
AMITE,0600000US2800590029,"District 1, Amite County, Mississippi",1,113,ZION HILL,468,FALSE,ZION HILL/HWY. 567/COLE RD.,6075 MS HWY 567 LIBERTY MS 39645
AMITE,0600000US2800590030,"District 1, Amite County, Mississippi",1,114,VANCE PARK,202,FALSE,VANCE PARK,4124 MS HWY 24 WEST LIBERTY MS 39645
AMITE,0600000US2800590765,"District 2, Amite County, Mississippi",2,210,AMITE RIVER,318,FALSE,AMITE RIVER/LIB. ELEMENTARY,3457B S GREENSBURG RD LIBERTY MS 39645
AMITE,0600000US2800590766,"District 2, Amite County, Mississippi",2,211,ARIEL,437,FALSE,ARIEL VOLUNTEER FIRE DEPT. BLDG.,4250 KAHNVILLE RD GLOSTER MS 39638
AMITE,0600000US2800590767,"District 2, Amite County, Mississippi",2,212,BERWICK,368,TRUE,BERWICK/JERUSALEM BAPT. CHURCH,3590-A JERUSALEM RD LIBERTY MS 39645
AMITE,0600000US2800590768,"District 2, Amite County, Mississippi",2,213,EAST CENTREVILLE,520,FALSE,E.CENTREVILLE/HWY. 48 W,1299 MS HWY 48 CENTREVILLE MS 39631
AMITE,0600000US2800590769,"District 2, Amite County, Mississippi",2,214,STREET,404,FALSE,STREET VOLUNTEER FIRE DEPT.,2169 MS HWY 569 S LIBERTY MS 39645
AMITE,0600000US2800591503,"District 3, Amite County, Mississippi",3,310A,CROSBY PUBLIC LIBRARY,222,FALSE,CROSBY PUBLIC LIBRARY,106 PINE ST CROSBY MS 39631
AMITE,0600000US2800591504,"District 3, Amite County, Mississippi",3,311,GLOSTER,802,FALSE,GLOSTER TRANSFER/COMPACTOR,4909 E HOMOCHITTO RD GLOSTER MS 39638
AMITE,0600000US2800591505,"District 3, Amite County, Mississippi",3,312,HOMOCHITTO,78,FALSE,HOMOCHITTO/MT. VERNON CHURCH,2038 POOLE LN GLOSTER MS 39638
AMITE,0600000US2800591506,"District 3, Amite County, Mississippi",3,313,ONEIL,336,FALSE,O'NEIL FIRE DEPARTMENT,5697 OXFORD MEADVILLE RD GLOSTER MS 39638
AMITE,0600000US2800591507,"District 3, Amite County, Mississippi",3,314,EAST GLOSTER,363,FALSE,EAST GLOSTER/GLOSTER F.D.,251 S FIRST STREET GLOSTER MS 39638
AMITE,0600000US2800592241,"District 4, Amite County, Mississippi",4,410,EAST FORK,479,FALSE,EAST FORK/HWY. 24/PEORIA RD.,4330 PEORIA RD LIBERTY MS 39645
