COUNTY,COUNTY_NAME,CTY_GEO_ID,SUBCOUNTY_NAME,SUBCTY_GEO_ID,DISTRICT,PRECINCT_CODE,PRECINCT_NAME,ACTIVE_VOTER_COUNT,CHURCH,POLLING_PLACE,Address
ADAMS,"Adams County, Mississippi",0500000US28001,"District 5, Adams County, Mississippi",0600000US2800192961,5,AP,"DIST. 5, AIRPORT PRECINCT",798,False,AIRPORT TERMINAL,434 AIRPORT RD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 1, Adams County, Mississippi",0600000US2800190009,1,BF,"DIST. 1, BY-PASS FIRE PRECINCT",970,True,ZION HILL CHURCH,349 LOWER WOODVILL RD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 1, Adams County, Mississippi",0600000US2800190009,1,BL,"DIST. 1, BELLEMONT PRECINCT",1797,True,CROSSPOINT CHURCH,285 HIGHLAND BLVD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 2, Adams County, Mississippi",0600000US2800190747,2,BP,"DIST. 2, BEAU PRE PRECINCT",1120,True,CALVARY BAPTIST CHURCH,522 HIGHWAY 61 SO. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 3, Adams County, Mississippi",0600000US2800191485,3,CD,"DIST. 3, CONCORD PRECINCT",711,True,CHRISTIAN HOPE BAPTIST CHURCH,301 LASALLE ST NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 1, Adams County, Mississippi",0600000US2800190009,1,CH,"DIST. 1, COURTHOUSE PRECINCT",690,False,COURTHOUSE,115 S. WALL ST. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 4, Adams County, Mississippi",0600000US2800192223,4,CR,"DIST. 4, CARPENTER PRECINCT",566,True,ROSE HILL BAPTIST CHURCH,607 1/2 MADISON ST. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 2, Adams County, Mississippi",0600000US2800190747,2,DP,"DIST. 2, DUNCAN PARK PRECINCT",1143,False,DUNCAN PARK CANTEEN,57 DUNCAN PARK RD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 5, Adams County, Mississippi",0600000US2800192961,5,FM,"DIST. 5, FOSTER MOUND PRECINCT",1139,False,DISTRICT 5 FIRE STATION,228 FOSTER MOUND RD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 2, Adams County, Mississippi",0600000US2800190747,2,KG,"DIST. 2, KINGSTON PRECINCT",622,False,KINGSTON SCHOOL HOUSE/COMMUNITY CENTER,799 KINGSTON RD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 2, Adams County, Mississippi",0600000US2800190747,2,LP,"DIST. 2, LIBERTY PARK PRECINCT",894,False,ADAMS CO SAFE ROOM,323 LIBERTY RD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 4, Adams County, Mississippi",0600000US2800192223,4,MG,"DIST. 4, MORGANTOWN PRECINCT",999,False,MORGANTOWN SCHOOL,101 COTTAGE HOME DR. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 3, Adams County, Mississippi",0600000US2800191485,3,MH,"DIST. 3, MARYLAND HGTS. PRECINCT",625,False,MARYLAND HEIGHTS REC BLDG,111 DUMAS DR. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 3, Adams County, Mississippi",0600000US2800191485,3,NPS,"DIST. 3, NPS MULTI PURPOSE BLDG.",520,False,DAVID R STECKLER MULTI PUR. BLDG,311 LIBERTY RD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 4, Adams County, Mississippi",0600000US2800192223,4,NS,"DIST. 4, NORTHSIDE PRECINCT",1619,False,FRAZIER SCHOOL,1445 GEORGE F WEST BLVD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 5, Adams County, Mississippi",0600000US2800192961,5,OK,"DIST. 5, OAKLAND PRECINCT",1003,True,COMMUNITY CHAPEL CHURCH,100 OAKLAND DR. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 3, Adams County, Mississippi",0600000US2800191485,3,PL,"DIST. 3, PALESTINE PRECINCT",1402,False,LIBERTY RD VOLUNTEER FIRE DEPT,1196 LIBERTY RD. NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 4, Adams County, Mississippi",0600000US2800192223,4,PR,"DIST. 4, PINE RIDGE PRECINCT",644,False,DISTRICT 4 BARN,176 FOSTER MOUND RD NATCHEZ MS 39120
ADAMS,"Adams County, Mississippi",0500000US28001,"District 5, Adams County, Mississippi",0600000US2800192961,5,WS,"DIST. 5, WASHINGTON PRECINCT",766,True,NEW HOPE BAPTIST CHURCH,417 MORGANTOWN RD. NATCHEZ MS 39120
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2BET,BETHEL,128,False,PHIL CRUM'S SHOP,258 HWY 2 WEST CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2BIG,BIGGERSVILLE,1162,False,BIGGERSVILLE FIRE STATION,531 CR 513 RIENZI MS 38865
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2CEN,2ND DISTRICT CENTRAL PRECINCT,2148,False,W. O. W. BUILDING,72 CR 253 GLEN MS 38846
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2CH,COLLEGE HILL,1283,False,AMERICAN LEGION BUILDING,511 S TATE ST CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2EC,EAST CORINTH,1974,True,FIRST PRESBYTERIAN CHURCH FELLOWSHIP HALL,917 E SHILOH RD CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2FP,FIVE POINTS 1ST DIST,2365,False,FARMINGTON CITY HALL,4135 CR 200 CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2GL,GLEN,1399,False,GLEN CITY HALL,2551 HWY 72 EAST GLEN MS 38846
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2JAC,JACINTO,508,False,JACINTO SENIOR CITIZEN CENTER,4 CR 375 RIENZI MS 38865
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2KOS,KOSSUTH,2183,False,L. C. FOLLIN BLUE BUILDING,7 CR 604 KOSSUTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2NC,NORTH CORINTH,1484,True,NORTH CORINTH BAPTIST CHURCH FELLOWSHIP HALL,3311 NORTH POLK STREET CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2PC,PINECREST,748,True,PINECREST BAPTIST CHURCH FELLOWSHIP HALL,313 PINECREST ROAD CORINTH MS 38834
ALCORN,"Alcorn County, Mississippi",0500000US28003,,,0,2RIE,RIENZI,1452,False,RIENZI FIRE STATION,71 S FRONT ST RIENZI MS 38865
