SUBCTY_GEO_ID,CTY_GEO_ID,SUBCOUNTY_ID,COUNTY_ID,NON_REL_POLLING_PLACES,REL_POLLING_PLACES,TOTAL_POLLING_PLACES,NON_REL_AVC,REL_AVC,TOTAL_AVC,,,
0600000US2800190009,0500000US28001,2800190009,1,1,2,3,690,2767,3457,,,
0600000US2800190747,0500000US28001,2800190747,1,3,1,4,2659,1120,3779,,,
0600000US2800191485,0500000US28001,2800191485,1,3,1,4,2547,711,3258,,,
0600000US2800192223,0500000US28001,2800192223,1,3,1,4,3262,566,3828,,,
0600000US2800192961,0500000US28001,2800192961,1,2,2,4,1937,1769,3706,,,
0600000US2800590027,0500000US28005,2800590027,5,4,,4,1776,,1776,,,
0600000US2800590765,0500000US28005,2800590765,5,4,1,5,1679,368,2047,,,
0600000US2800591503,0500000US28005,2800591503,5,5,,5,1801,,1801,,,
0600000US2800592241,0500000US28005,2800592241,5,4,,4,1855,,1855,,,
0600000US2800592979,0500000US28005,2800592979,5,4,,4,2052,,2052,,,
0600000US2800790036,0500000US28007,2800790036,7,1,1,2,932,1293,2225,,,
0600000US2800790774,0500000US28007,2800790774,7,4,,4,2368,,2368,,,
0600000US2800791512,0500000US28007,2800791512,7,4,1,5,1861,262,2123,,,
0600000US2800792250,0500000US28007,2800792250,7,2,2,4,874,1431,2305,,,
0600000US2800792988,0500000US28007,2800792988,7,4,1,5,1926,163,2089,,,
0600000US2800990045,0500000US28009,2800990045,9,1,,1,1280,,1280,,,
0600000US2800990783,0500000US28009,2800990783,9,1,,1,1234,,1234,,,
0600000US2800991521,0500000US28009,2800991521,9,1,,1,1165,,1165,,,
0600000US2800992259,0500000US28009,2800992259,9,1,,1,1076,,1076,,,
0600000US2800992997,0500000US28009,2800992997,9,1,,1,1274,,1274,,,
0600000US2801390063,0500000US28013,2801390063,13,1,1,2,677,1175,1852,,,
0600000US2801390801,0500000US28013,2801390801,13,2,,2,1794,,1794,,,
0600000US2801391539,0500000US28013,2801391539,13,2,,2,1861,,1861,,,
0600000US2801392277,0500000US28013,2801392277,13,2,,2,1687,,1687,,,
0600000US2801393015,0500000US28013,2801393015,13,2,,2,1762,,1762,,,
0600000US2801590072,0500000US28015,2801590072,15,2,2,4,851,759,1610,,,
0600000US2801590810,0500000US28015,2801590810,15,2,,2,1361,,1361,,,
0600000US2801591548,0500000US28015,2801591548,15,3,,3,1389,,1389,,,
0600000US2801592286,0500000US28015,2801592286,15,3,,3,1630,,1630,,,
0600000US2801593024,0500000US28015,2801593024,15,2,,2,1250,,1250,,,
0600000US2802190099,0500000US28021,2802190099,21,2,,2,1321,,1321,,,
0600000US2802190837,0500000US28021,2802190837,21,2,,2,1077,,1077,,,
0600000US2802191575,0500000US28021,2802191575,21,3,,3,1196,,1196,,,
0600000US2802192313,0500000US28021,2802192313,21,2,1,3,1111,103,1214,,,
0600000US2802193051,0500000US28021,2802193051,21,2,,2,1379,,1379,,,
0600000US2802790126,0500000US28027,2802790126,27,4,,4,2888,,2888,,,
0600000US2802790864,0500000US28027,2802790864,27,3,,3,2650,,2650,,,
0600000US2802791602,0500000US28027,2802791602,27,4,,4,2567,,2567,,,
0600000US2802792340,0500000US28027,2802792340,27,3,,3,2472,,2472,,,
0600000US2802793078,0500000US28027,2802793078,27,3,1,4,2506,250,2756,,,
0600000US2803190144,0500000US28031,2803190144,31,2,,2,2708,,2708,,,
0600000US2803190882,0500000US28031,2803190882,31,2,1,3,1641,1163,2804,,,
0600000US2803191620,0500000US28031,2803191620,31,2,,2,2917,,2917,,,
0600000US2803192358,0500000US28031,2803192358,31,4,,4,2744,,2744,,,
0600000US2803193096,0500000US28031,2803193096,31,4,,4,2915,,2915,,,
0600000US2803390153,0500000US28033,2803390153,33,4,6,10,10020,16894,26914,,,
0600000US2803390891,0500000US28033,2803390891,33,3,7,10,7422,21287,28709,,,
0600000US2803391629,0500000US28033,2803391629,33,3,4,7,8439,12929,21368,,,
0600000US2803392367,0500000US28033,2803392367,33,6,4,10,13880,8447,22327,,,
0600000US2803393105,0500000US28033,2803393105,33,4,6,10,14658,16026,30684,,,
0600000US2803790171,0500000US28037,2803790171,37,2,,2,895,,895,,,
0600000US2803790909,0500000US28037,2803790909,37,3,,3,1235,,1235,,,
0600000US2803791647,0500000US28037,2803791647,37,3,,3,1450,,1450,,,
0600000US2803792385,0500000US28037,2803792385,37,2,1,3,823,259,1082,,,
0600000US2803793123,0500000US28037,2803793123,37,3,,3,1108,,1108,,,
0600000US2803990180,0500000US28039,2803990180,39,4,,4,3102,,3102,,,
0600000US2803990918,0500000US28039,2803990918,39,4,,4,3213,,3213,,,
0600000US2803991656,0500000US28039,2803991656,39,4,,4,3290,,3290,,,
0600000US2803992394,0500000US28039,2803992394,39,4,,4,3138,,3138,,,
0600000US2803993132,0500000US28039,2803993132,39,5,,5,2969,,2969,,,
0600000US2804390198,0500000US28043,2804390198,43,2,1,3,1115,2028,3143,,,
0600000US2804390936,0500000US28043,2804390936,43,3,,3,2304,,2304,,,
0600000US2804391674,0500000US28043,2804391674,43,3,,3,2532,,2532,,,
0600000US2804392412,0500000US28043,2804392412,43,1,1,2,1994,919,2913,,,
0600000US2804393150,0500000US28043,2804393150,43,2,,2,2598,,2598,,,
0600000US2804590207,0500000US28045,2804590207,45,4,,4,6658,,6658,,,
0600000US2804590945,0500000US28045,2804590945,45,6,,6,6761,,6761,,,
0600000US2804591683,0500000US28045,2804591683,45,4,,4,8071,,8071,,,
